Preguntas,Respuestas
"¿Cuándo son las fechas de inscripciones, reingresos y transferencias?","Las fechas son entre septiembre, octubre y noviembre / abril, mayo y junio."
¿Qué documentos son requeridos para realizar un proceso de inscripción en la Universidad del Quindío?,"Los documentos requeridos son acta de grado y/o diploma, Pruebas Saber 11, documento de identidad."
"¿Cuál es el valor de las inscripciones, reingresos y transferencias?","Actualmente, el valor del pin es: Cancelacion de semestre en Pregrado $ 17.300. Copia en físico de Diploma de Grado $ 26.400. Derechos de Grado Posgrado / Ceremonia pública $ 526.500. Derechos de Grado Posgrado / Ceremonia ventanilla $ 344.500. Derechos de Grado Pregrado Distancia/ Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Distancia/ Ceremonia Ventanilla $ 240.500. Derechos de Grado Pregrado Presencial / Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Presencial / Ceremonia ventanilla $ 240.500. Duplicado carné $ 29.000. Examen de revalidación $ 107.900. Examen de validación $ 107.900. Certificados de notas y Constancias de estudio $ 16.000. Certificados de notas por semestre $ 16.000. Exámenes supletorios / habilitaciones $ 39.000. Inscripción en programa posgrado $ 208.000. Inscripción estudiante especial programa pregrado $ 23.400. Inscripción Pregrado $ 119.900. Inscripción reingreso posgrado $ 87.100. Inscripción reingreso pregado $ 49.400. Inscripción transferencia externa pregrado $ 208.000. Inscripción transferencia interna pregrado $ 198.300. Porte por correspondencia $ 12.900. Registro de Título y autenticidad de Título $ 16.000"
"Si soy admitido en la uniquindío, ¿qué valor debo cancelar por la matrícula?","El valor depende del carácter del colegio, si este es público o privado. Puedes consultar la información tentativa en el siguiente enlace https://bit.ly/3KnnR8Z"
¿Cómo aplicar o ser beneficiario de la Matrícula 0?,Según el Decreto 1667 del 07 de diciembre de 2021 los aspirantes deben cumplir con los requisitos establecidos en el mismo. En el siguiente enlace podrás encontrar información al respecto http://bit.ly/3wBcq7r
"¿Soy estudiante en continuidad, ¿Me aplica el reingreso?","El estudiante que se encuentra en continuidad académica, al encontrarse en estado INACTIVO, NO debe tramitar reingreso. Solo deberá solicitar por medio del CSU la activación en el sistema académico y, de esta manera, gestionar la matrícula financiera y académica si aplica."
"Si se vence mi tiempo de continuidad, ¿qué debo hacer?",Debes solicitar ante el Consejo de Facultad la extensión de continuidad. Son ellos los que estudian la solicitud y la respuesta es remitida a la Oficina de Admisiones y Registros.
¿En continuidad académica se aplica algún descuento o alguna exoneración?,"Según el acuerdo del Consejo Superior No.062 del 22 de junio del 2018, Artículo 8, establece no aplicar ningún tipo de descuento, beca o estímulo financiero, exoneración u apoyo económico, otorgado por la misma institución, asimismo, no podrá participar como auxiliar en ninguna convocatoria que conduzca a generar incentivos económicos."
¿Cómo sé si aplico para continuidad académica?,"Aplica para ser estudiante en continuidad académica por primera vez, cuando en el semestre inmediatamente anterior hayas cursado la asignatura que esté marcada como opción de grado dentro del plan de estudios."
¿Cómo me reporto en continuidad académica?,"Debes notificar al programa académico sobre tu situación académica. El director de programa es quien realiza el reporte ante la Oficina de Admisiones, por medio del sistema académico SAC. "
"Quiero estudiar en la uniquindío, ¿cuál es el proceso de selección?","Para conocer el proceso de selección de estudiantes nuevos a programas de pregrado, puedes ingresar al siguiente enlace http://bit.ly/30RYaaa"
Si se pasó la fecha de pago de matrícula ¿Qué debo hacer?,"Si eres un estudiante nuevo de la metodología presencial y no pagó en las fechas establecidas, pierde el cupo y éste será reasignado a la persona que sigue en el orden de la lista. "
¿Cómo puedo realizar la solicitud de un certificado de notas y/o constancia de estudio?,"Este proceso debe realizar de manera virtual a través de nuestro portal web www.uniquindio.edu.co. En los siguiente enlaces podrás encontrar la información y el tutorial de cómo gestionar tus certificados y/o constancias. https://www.uniquindio.edu.co/estudiantes/publicaciones/390/certificados-y-constancias/. Información disponible en Youtube: https://youtu.be/4OadCTbpVDY . De igual manera, te recordamos que el pago puedes realizarlo a través de PSE y de manera presencial en cualquier sucursal del banco Davivienda a nivel nacional."
¿Cuánto tiempo tarda la expedición de un certificado y/o constancia?,Dos días hábiles después del pago del certificado.
¿Por qué aún no me han expedido el certificado que solicité?,"Existen dos motivos: No se ha cumplido el tiempo de entrega de 2 días hábiles después de realizado el pago o la solicitud se encuentra incompleta. Para que tu solicitud pueda ser tramitada, es necesario que realices el pago del 100% de los conceptos, recuerda que debes generar y cancelar dos recibos: Certificados/constancias estudio y estampilla prodesarrollo - estampilla prohospital"
¿Cómo puedo descargar mi recibo de matrícula?,"Debes ingresar a SAC. En la actividad recibo de pago de matrículas y otros derechos (ubicada en la parte izquierda) selecciona la fila donde están los datos del estudiante, Luego dirígete a la parte inferior al botón “generar” y “generar pdf”, Allí aparece una ventana que muestra una vista previa del recibo (debes verificar la información allí suministrada). Si estás de acuerdo con los datos del recibo, en la parte inferior de esta ventana, debes seleccionar “Aceptar” para que se descargues el recibo de matrícula a pagar (el recibo final mostrará un código de barras que será válido ante cualquier entidad bancaria – virtual o presencial)."
¿Qué necesito para acceder a la Política de Gratuidad?,El Ministerio de Educación Nacional expide la norma que contempla los requisitos mínimos para ser aprobado en los subsidios que el gobierno otorga. En el caso de la Política de Gratuidad se puede encontrar mayor información en el siguiente enlace: https://www.mineducacion.gov.co/portal/Educacion-superior/Politica-de-Gratuidad/409830:Politica-de-Gratuidad-en-la-EducacionSuperior
¿Qué es Generación Equidad?,El programa de Generación E componente Equidad es un fondo del Ministerio de Educación Nacional que subsidia el valor de la matrícula neta de sus beneficiarios. Puedes conocer sobre el programa en el siguiente enlace: https://especiales.colombiaaprende.edu.co/generacione/equidad.html
¿Cómo pido un reembolso de dinero?,"El proceso de reembolso se gestiona ante una situación particular por un pago realizado que conduce a dobles pagos, servicios no prestados, excedente, cancelación de semestre, entre otros. Las peticiones son revisadas cuidadosamente y se determina si es procedente o no. Esta gestión se solicita a través del Centro de Servicio Universitario – CSU – donde se radica la petición y se anexan los soportes exigidos (soporte del pago, certificado de la cuenta bancaria a nombre del titular del proceso, documento de identidad). Puedes conocer más en el siguiente enlace: https://bit.ly/3mU3NDG"
¿Cuáles son las fechas de inscripción?,"Las fechas son entre septiembre, octubre y noviembre / abril, mayo y junio."
¿Cuándo puedo inscribirme?,"Las fechas son entre septiembre, octubre y noviembre / abril, mayo y junio."
¿Qué días son las inscripciones?,"Las fechas son entre septiembre, octubre y noviembre / abril, mayo y junio."
"¿Cuándo empiezan las inscripciones, reingresos y transferencias?","Las fechas son entre septiembre, octubre y noviembre / abril, mayo y junio."
¿Qué papeles necesito para inscribirme en la Universidad del Quindío?,"Los documentos requeridos son acta de grado y/o diploma, Pruebas Saber 11, documento de identidad."
¿Cuáles son los documentos necesarios para la inscripción en UniQuindío?,"Los documentos requeridos son acta de grado y/o diploma, Pruebas Saber 11, documento de identidad."
¿Qué requisitos debo presentar para hacer la inscripción en la Universidad del Quindío?,"Los documentos requeridos son acta de grado y/o diploma, Pruebas Saber 11, documento de identidad."
¿Qué documentos piden para inscribirme en la Universidad del Quindío?,"Los documentos requeridos son acta de grado y/o diploma, Pruebas Saber 11, documento de identidad."
"¿Cuánto cuesta inscribirse, reingresar o hacer una transferencia en la UniQuindío?","Actualmente, el valor del pin es: Cancelacion de semestre en Pregrado $ 17.300. Copia en físico de Diploma de Grado $ 26.400. Derechos de Grado Posgrado / Ceremonia pública $ 526.500. Derechos de Grado Posgrado / Ceremonia ventanilla $ 344.500. Derechos de Grado Pregrado Distancia/ Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Distancia/ Ceremonia Ventanilla $ 240.500. Derechos de Grado Pregrado Presencial / Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Presencial / Ceremonia ventanilla $ 240.500. Duplicado carné $ 29.000. Examen de revalidación $ 107.900. Examen de validación $ 107.900. Certificados de notas y Constancias de estudio $ 16.000. Certificados de notas por semestre $ 16.000. Exámenes supletorios / habilitaciones $ 39.000. Inscripción en programa posgrado $ 208.000. Inscripción estudiante especial programa pregrado $ 23.400. Inscripción Pregrado $ 119.900. Inscripción reingreso posgrado $ 87.100. Inscripción reingreso pregado $ 49.400. Inscripción transferencia externa pregrado $ 208.000. Inscripción transferencia interna pregrado $ 198.300. Porte por correspondencia $ 12.900. Registro de Título y autenticidad de Título $ 16.000"
"¿Cuál es el costo de las inscripciones, reingresos y transferencias en la Universidad del Quindío?","Actualmente, el valor del pin es: Cancelacion de semestre en Pregrado $ 17.300. Copia en físico de Diploma de Grado $ 26.400. Derechos de Grado Posgrado / Ceremonia pública $ 526.500. Derechos de Grado Posgrado / Ceremonia ventanilla $ 344.500. Derechos de Grado Pregrado Distancia/ Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Distancia/ Ceremonia Ventanilla $ 240.500. Derechos de Grado Pregrado Presencial / Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Presencial / Ceremonia ventanilla $ 240.500. Duplicado carné $ 29.000. Examen de revalidación $ 107.900. Examen de validación $ 107.900. Certificados de notas y Constancias de estudio $ 16.000. Certificados de notas por semestre $ 16.000. Exámenes supletorios / habilitaciones $ 39.000. Inscripción en programa posgrado $ 208.000. Inscripción estudiante especial programa pregrado $ 23.400. Inscripción Pregrado $ 119.900. Inscripción reingreso posgrado $ 87.100. Inscripción reingreso pregado $ 49.400. Inscripción transferencia externa pregrado $ 208.000. Inscripción transferencia interna pregrado $ 198.300. Porte por correspondencia $ 12.900. Registro de Título y autenticidad de Título $ 16.000"
"¿Qué precio tienen las inscripciones, los reingresos y las transferencias en UniQuindío?","Actualmente, el valor del pin es: Cancelacion de semestre en Pregrado $ 17.300. Copia en físico de Diploma de Grado $ 26.400. Derechos de Grado Posgrado / Ceremonia pública $ 526.500. Derechos de Grado Posgrado / Ceremonia ventanilla $ 344.500. Derechos de Grado Pregrado Distancia/ Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Distancia/ Ceremonia Ventanilla $ 240.500. Derechos de Grado Pregrado Presencial / Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Presencial / Ceremonia ventanilla $ 240.500. Duplicado carné $ 29.000. Examen de revalidación $ 107.900. Examen de validación $ 107.900. Certificados de notas y Constancias de estudio $ 16.000. Certificados de notas por semestre $ 16.000. Exámenes supletorios / habilitaciones $ 39.000. Inscripción en programa posgrado $ 208.000. Inscripción estudiante especial programa pregrado $ 23.400. Inscripción Pregrado $ 119.900. Inscripción reingreso posgrado $ 87.100. Inscripción reingreso pregado $ 49.400. Inscripción transferencia externa pregrado $ 208.000. Inscripción transferencia interna pregrado $ 198.300. Porte por correspondencia $ 12.900. Registro de Título y autenticidad de Título $ 16.000"
"¿Cuánto debo pagar por inscribirme, reingresar o transferirme en la Universidad del Quindío?","Actualmente, el valor del pin es: Cancelacion de semestre en Pregrado $ 17.300. Copia en físico de Diploma de Grado $ 26.400. Derechos de Grado Posgrado / Ceremonia pública $ 526.500. Derechos de Grado Posgrado / Ceremonia ventanilla $ 344.500. Derechos de Grado Pregrado Distancia/ Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Distancia/ Ceremonia Ventanilla $ 240.500. Derechos de Grado Pregrado Presencial / Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Presencial / Ceremonia ventanilla $ 240.500. Duplicado carné $ 29.000. Examen de revalidación $ 107.900. Examen de validación $ 107.900. Certificados de notas y Constancias de estudio $ 16.000. Certificados de notas por semestre $ 16.000. Exámenes supletorios / habilitaciones $ 39.000. Inscripción en programa posgrado $ 208.000. Inscripción estudiante especial programa pregrado $ 23.400. Inscripción Pregrado $ 119.900. Inscripción reingreso posgrado $ 87.100. Inscripción reingreso pregado $ 49.400. Inscripción transferencia externa pregrado $ 208.000. Inscripción transferencia interna pregrado $ 198.300. Porte por correspondencia $ 12.900. Registro de Título y autenticidad de Título $ 16.000"
¿Cuál es el costo de la matrícula si soy admitido en UniQuindío?,"El valor depende del carácter del colegio, si este es público o privado. Puedes consultar la información tentativa en el siguiente enlace https://bit.ly/3KnnR8Z"
¿Cuánto tendré que pagar de matrícula si me aceptan en la Universidad del Quindío?,"El valor depende del carácter del colegio, si este es público o privado. Puedes consultar la información tentativa en el siguiente enlace https://bit.ly/3KnnR8Z"
"Si me admiten en UniQuindío, ¿cuál es el valor de la matrícula?","El valor depende del carácter del colegio, si este es público o privado. Puedes consultar la información tentativa en el siguiente enlace https://bit.ly/3KnnR8Z"
¿Qué importe debo pagar por la matrícula si ingreso a la Universidad del Quindío?,"El valor depende del carácter del colegio, si este es público o privado. Puedes consultar la información tentativa en el siguiente enlace https://bit.ly/3KnnR8Z"
¿Qué debo hacer para ser beneficiario de la Matrícula 0 en UniQuindío?,Según el Decreto 1667 del 07 de diciembre de 2021 los aspirantes deben cumplir con los requisitos establecidos en el mismo. En el siguiente enlace podrás encontrar información al respecto http://bit.ly/3wBcq7r
¿Cómo puedo aplicar para la Matrícula 0 en la Universidad del Quindío?,Según el Decreto 1667 del 07 de diciembre de 2021 los aspirantes deben cumplir con los requisitos establecidos en el mismo. En el siguiente enlace podrás encontrar información al respecto http://bit.ly/3wBcq7r
¿Qué pasos debo seguir para obtener la Matrícula 0 en UniQuindío?,Según el Decreto 1667 del 07 de diciembre de 2021 los aspirantes deben cumplir con los requisitos establecidos en el mismo. En el siguiente enlace podrás encontrar información al respecto http://bit.ly/3wBcq7r
¿Cómo puedo ser seleccionado para la Matrícula 0 en la Universidad del Quindío?,Según el Decreto 1667 del 07 de diciembre de 2021 los aspirantes deben cumplir con los requisitos establecidos en el mismo. En el siguiente enlace podrás encontrar información al respecto http://bit.ly/3wBcq7r
"Si estoy en continuidad, ¿necesito reingresar?","El estudiante que se encuentra en continuidad académica, al encontrarse en estado INACTIVO, NO debe tramitar reingreso. Solo deberá solicitar por medio del CSU la activación en el sistema académico y, de esta manera, gestionar la matrícula financiera y académica si aplica."
¿El reingreso aplica para estudiantes en continuidad en UniQuindío?,"El estudiante que se encuentra en continuidad académica, al encontrarse en estado INACTIVO, NO debe tramitar reingreso. Solo deberá solicitar por medio del CSU la activación en el sistema académico y, de esta manera, gestionar la matrícula financiera y académica si aplica."
¿Debo hacer reingreso si soy estudiante en continuidad en la Universidad del Quindío?,"El estudiante que se encuentra en continuidad académica, al encontrarse en estado INACTIVO, NO debe tramitar reingreso. Solo deberá solicitar por medio del CSU la activación en el sistema académico y, de esta manera, gestionar la matrícula financiera y académica si aplica."
"Si estoy en continuidad académica, ¿tengo que reingresar en UniQuindío?","El estudiante que se encuentra en continuidad académica, al encontrarse en estado INACTIVO, NO debe tramitar reingreso. Solo deberá solicitar por medio del CSU la activación en el sistema académico y, de esta manera, gestionar la matrícula financiera y académica si aplica."
¿Qué hago si se me acaba el tiempo de continuidad en la UniQuindío?,Debes solicitar ante el Consejo de Facultad la extensión de continuidad. Son ellos los que estudian la solicitud y la respuesta es remitida a la Oficina de Admisiones y Registros.
"Si mi tiempo de continuidad vence, ¿qué pasos debo seguir?",Debes solicitar ante el Consejo de Facultad la extensión de continuidad. Son ellos los que estudian la solicitud y la respuesta es remitida a la Oficina de Admisiones y Registros.
¿Qué procedimiento seguir si se vence mi continuidad en la Universidad del Quindío?,Debes solicitar ante el Consejo de Facultad la extensión de continuidad. Son ellos los que estudian la solicitud y la respuesta es remitida a la Oficina de Admisiones y Registros.
"Si mi continuidad caduca, ¿qué debo hacer en UniQuindío?",Debes solicitar ante el Consejo de Facultad la extensión de continuidad. Son ellos los que estudian la solicitud y la respuesta es remitida a la Oficina de Admisiones y Registros.
¿Hay descuentos o exoneraciones para la continuidad académica en UniQuindío?,"Según el acuerdo del Consejo Superior No.062 del 22 de junio del 2018, Artículo 8, establece no aplicar ningún tipo de descuento, beca o estímulo financiero, exoneración u apoyo económico, otorgado por la misma institución, asimismo, no podrá participar como auxiliar en ninguna convocatoria que conduzca a generar incentivos económicos."
